アマランサス 玄穀 ,358,12.7,6.0,64.9,7.4,1,600,160,270,9.4,5.8,0,0.04,0.14,0.58,0,130,0,0
あわ 精白粒 ,367,11.2,4.4,69.7,3.3,1,300,14,110,4.8,2.5,0,0.56,0.07,0.18,0,29,0,0
あわ あわもち ,214,5.1,1.3,45.3,1.5,0,62,5,12,0.7,1.1,0,0.08,0.01,0.03,0,7,0,0
えんばく オートミール ,380,13.7,5.7,69.1,9.4,3,260,47,100,3.9,2.1,0,0.20,0.08,0.11,0,30,0,0
おおむぎ 七分つき押麦 ,341,10.9,2.1,72.1,10.3,2,220,23,46,1.3,1.4,0,0.22,0.07,0.14,0,17,0,0
おおむぎ 押麦 ,340,6.2,1.3,77.8,9.6,2,170,17,25,1.0,1.2,0,0.06,0.04,0.14,0,9,0,0
おおむぎ 米粒麦 ,343,7.0,2.1,76.2,8.7,2,170,17,25,1.2,1.2,0,0.19,0.05,0.19,0,10,0,0
おおむぎ 大麦めん 乾 ,339,12.9,1.7,68.0,6.3,1100,240,27,63,2.1,1.5,0,0.21,0.04,0.09,0,19,0,2.8
おおむぎ 大麦めん ゆで ,122,4.8,0.6,24.3,2.5,64,10,12,18,0.9,0.6,0,0.04,0.01,0.01,0,5,0,0.2
おおむぎ 麦こがし ,391,12.5,5.0,77.1,15.5,2,490,43,130,3.1,3.8,0,0.09,0.10,0.09,0,24,0,0
きび 精白粒 ,363,11.3,3.3,70.9,1.6,2,200,9,84,2.1,2.7,0,0.34,0.09,0.20,0,13,0,0
こむぎ ［玄穀］ 国産 普通 ,337,10.6,3.1,72.2,10.8,2,470,26,80,3.2,2.6,0,0.41,0.09,0.35,0,38,0,0
こむぎ ［玄穀］ 輸入 軟質 ,348,10.1,3.3,75.2,11.2,2,390,36,110,2.9,1.7,0,0.49,0.09,0.34,0,40,0,0
こむぎ ［玄穀］ 輸入 硬質 ,334,13.0,3.0,69.4,11.4,2,340,26,140,3.2,3.1,0,0.35,0.09,0.34,0,49,0,0
こむぎ ［小麦粉］ 薄力粉 1等 ,367,8.3,1.5,75.8,2.5,0,110,20,12,0.5,0.3,0,0.11,0.03,0.03,0,9,0,0
こむぎ ［小麦粉］ 薄力粉 2等 ,368,9.3,1.9,74.3,2.6,0,130,23,30,0.9,0.7,0,0.21,0.04,0.09,0,14,0,0
こむぎ ［小麦粉］ 中力粉 1等 ,367,9.0,1.6,75.1,2.8,1,100,17,18,0.5,0.5,0,0.10,0.03,0.05,0,8,0,0
こむぎ ［小麦粉］ 中力粉 2等 ,368,9.7,1.8,74.0,2.1,1,110,24,26,1.1,0.6,0,0.22,0.04,0.07,0,12,0,0
